FlightNumber,Date,BoosterVersion,LaunchSite,Payload,PayloadMass,Orbit,Customer,MissionOutcome,LandingOutcome,SiteGroup
1,2010-06-04,F9 v1.0 B0003.1,"CCAFS , SLC-40",Dragon Spacecraft Qualification Unit,,LEO,SpaceX,Success,Failure (parachute),Cape Canaveral LC-40
2,2010-12-08,F9 v1.0 B0004.1,"CCAFS , SLC-40",Dragon demo flight C1 (Dragon C101),,LEO ( ISS ),NASA ( COTS ) NRO,Success,Failure (parachute),Cape Canaveral LC-40
3,2012-05-22,F9 v1.0 B0005.1,"CCAFS , SLC-40",Dragon demo flight C2+ (Dragon C102),525.0,LEO ( ISS ),NASA ( COTS ),Success,No attempt,Cape Canaveral LC-40
4,2012-10-08,F9 v1.0 B0006.1,"CCAFS , SLC-40",SpaceX CRS-1 (Dragon C103),4700.0,LEO ( ISS ),NASA ( CRS ),Success,No attempt,Cape Canaveral LC-40
5,2013-03-01,F9 v1.0 B0007.1,"CCAFS , SLC-40",SpaceX CRS-2 (Dragon C104),4877.0,LEO ( ISS ),NASA ( CRS ),Success,No attempt,Cape Canaveral LC-40
6,2013-09-29,F9 v1.1 B1003,"VAFB , SLC-4E",CASSIOPE,500.0,Polar orbit LEO,MDA,Success,Uncontrolled (ocean),VAFB SLC-4E
7,2013-12-03,F9 v1.1 B1004,"CCAFS , SLC-40",SES-8,3170.0,GTO,SES,Success,No attempt,Cape Canaveral LC-40
8,2014-01-06,F9 v1.1,"CCAFS , SLC-40",Thaicom 6,3325.0,GTO,Thaicom,Success,No attempt,Cape Canaveral LC-40
9,2014-04-18,F9 v1.1,"Cape Canaveral , LC-40",SpaceX CRS-3 (Dragon C105),2296.0,LEO ( ISS ),NASA ( CRS ),Success,Controlled (ocean),Cape Canaveral LC-40
10,2014-07-14,F9 v1.1,"Cape Canaveral , LC-40",Orbcomm-OG2 -1 (6 satellites),1316.0,LEO,Orbcomm,Success,Controlled (ocean),Cape Canaveral LC-40
11,2014-08-05,F9 v1.1,"Cape Canaveral , LC-40",AsiaSat 8,4535.0,GTO,AsiaSat,Success,No attempt,Cape Canaveral LC-40
12,2014-09-07,F9 v1.1 B1011,"Cape Canaveral , LC-40",AsiaSat 6,4428.0,GTO,AsiaSat,Success,No attempt,Cape Canaveral LC-40
13,2014-09-21,F9 v1.1 B1010,"Cape Canaveral , LC-40",SpaceX CRS-4 (Dragon C106 .1),2216.0,LEO ( ISS ),NASA ( CRS ),Success,Uncontrolled (ocean),Cape Canaveral LC-40
14,2015-01-10,F9 v1.1 B1012,"Cape Canaveral , LC-40",SpaceX CRS-5 (Dragon C107),2395.0,LEO ( ISS ),NASA ( CRS ),Success,Failure (drone ship),Cape Canaveral LC-40
15,2015-02-11,F9 v1.1 B1013,"Cape Canaveral , LC-40",DSCOVR,570.0,HEO ( Sun–Earth L 1 insertion),USAF NASA NOAA,Success,Controlled (ocean),Cape Canaveral LC-40
16,2015-03-02,F9 v1.1 B1014,"Cape Canaveral , LC-40",ABS-3A Eutelsat 115 West B,4159.0,GTO,ABS Eutelsat,Success,No attempt,Cape Canaveral LC-40
17,2015-04-14,F9 v1.1 B1015,"Cape Canaveral , LC-40",SpaceX CRS-6 (Dragon C108.1 ),1898.0,LEO ( ISS ),NASA ( CRS ),Success,Failure (drone ship),Cape Canaveral LC-40
18,2015-04-27,F9 v1.1 B1016,"Cape Canaveral , LC-40",TürkmenÄlem 52°E / MonacoSAT,4707.0,GTO,Turkmenistan National Space Agency,Success,No attempt,Cape Canaveral LC-40
19,2015-06-28,F9 v1.1 B1018,"Cape Canaveral , LC-40",SpaceX CRS-7 (Dragon C109),1952.0,LEO ( ISS ),NASA ( CRS ),Failure (in flight),Precluded (drone ship),Cape Canaveral LC-40
20,2015-12-22,F9 FT B1019.1,"Cape Canaveral , LC-40",Orbcomm-OG2 -2 (11 satellites),2034.0,LEO,Orbcomm,Success,Success (ground pad),Cape Canaveral LC-40
21,2016-01-17,F9 v1.1 B1017,"VAFB , SLC-4E",Jason-3,553.0,LEO,NASA ( LSP ) NOAA CNES,Success,Failure (drone ship),VAFB SLC-4E
22,2016-03-04,F9 FT B1020.1,"Cape Canaveral , LC-40",SES-9,5271.0,GTO,SES,Success,Failure (drone ship),Cape Canaveral LC-40
